ClassN1,ID,TextoTratado,CreateTime,TotalTimeTracked,dominant_topic,top_words
Infrastructure,18126,ajustes script retirada backup,09/07/2025 11:07:24,2820,8,"xml, sql, mysql, pdf, txt"
Infrastructure,18122,inclusao exclusao mails grupos incluir escritorio monteiro incluir monteiro excluir grupos escritorio corretores bitencourt,09/07/2025 10:22:42,780,9,"encerrados, faturados, criadas, corrompidos, contabilizados"
ERP,18121,criei natureza orcamentaria tinha classificacao conta,09/07/2025 09:41:53,0,5,"carrega, sinaliza, possuia, inclui, executou"
ERP,18119,incluir alcada centro custo verde ferri alcantara melo cassini aprovacao,09/07/2025 09:33:02,780,9,"encerrados, faturados, criadas, corrompidos, contabilizados"
ERP,18118,recarregado total saldo criar totvs funcionamento solicitada,09/07/2025 08:42:06,0,6,"ajustado, usado, explicado, solicitada, admitida"
Infrastructure,18117,acessar vpn conectar aparece,09/07/2025 08:10:07,1320,3,"instalar, liberar, transferir, recuperar, portar"
ERP,18113,alterar competencia coligada envio autonomos esocial,08/07/2025 18:35:14,2580,3,"instalar, liberar, transferir, recuperar, portar"
ERP,18112,excluir evento recibo evento encontrado evento enviado status aceito ret recibo,08/07/2025 17:40:02,540,6,"ajustado, usado, explicado, solicitada, admitida"
Infrastructure,18111,instalar hec ras hec hms maquina,08/07/2025 17:25:01,3420,1,"tolerancia, montagem, administracao, unidade, pasta"
ERP,18110,reuniao alinhamento erp interna,08/07/2025 17:01:23,3180,1,"tolerancia, montagem, administracao, unidade, pasta"
Infrastructure,18109,acesso vpn auxiliar,08/07/2025 17:01:00,480,8,"xml, sql, mysql, pdf, txt"
ERP,18108,criar usuario senha matricula registrar geolocalizacao coligada,08/07/2025 16:07:03,600,3,"instalar, liberar, transferir, recuperar, portar"
ERP,18107,cliente figueiredo cordeiro acesso portal conseguem liberar revisar tomar medidas atualizacao,08/07/2025 16:05:06,240,3,"instalar, liberar, transferir, recuperar, portar"
ERP,18106,cadastrar acesso totvs liberacao saude seguranca ocupacional,08/07/2025 15:53:27,60,1,"tolerancia, montagem, administracao, unidade, pasta"
Infrastructure,18105,manutencao computador causada memoria,08/07/2025 15:12:31,3000,1,"tolerancia, montagem, administracao, unidade, pasta"
ERP,18104,plano saude,08/07/2025 15:05:31,600,2,"plano, agrupamento, tamanho, preco, moinho"
